	target_text	input_text	prefix
3747	hm. you might want to have a look in #ubuntu+1 or #ubuntu-dev or the like ;-)	hi there is there a time schedule (in terms of hours etc.) for the upcoming release? i'd like to take a closer look at my mirror 	CHAT
3748	can you not right click and remove?	like, i have 2 amazon shortcuts and an omgubuntu shortcuts how do i delete 'web apps' 	CHAT
3749	doesn't look like there's 1.0.1 package. So you might just go ahead and package it :)	is there a package for couchdb 1.0.2 for 10.10? check http://packages.ubuntu.com 	CHAT
3750	can you support me with my ubuntu community here in dagupan city Philippines	Hi. I was stupid enough to apply updates on my eee 1000HE, and now the wlan does not function again - it's a ralink rt2860, connection shows up but it just fails to connect. access point uses wpa2. any fix? i've read it 	CHAT
3751	what problems can you face while apt-getting? :D	i tried to install xfce4 following this tutorial http://www.ubuntuforums.org/showthread.php?t=30896&page=2&pp=10  but i, having trouble ? 	CHAT
3752	this isn't on ubuntu, this is using openbsd, and has some fairly specific restrictions on 'how' he configured it to work, but you might be able to adjust a thing or two.  http://www.cisns.net/lab/lab01.shtml	I got a 802.11g PCI card and a built in NIC. Is there a way that I can 'share' the internet connection with a system that's connected to the NIC? I remember someone writing up a HOWTO on this issue, but I can't remember the URL and I can't find it in my history. 	CHAT
3753	what others have you tried. kazam is worth a look	Trying to get 'Record my desktop' to record both internal audio, and my Mic. I tried routing my mic so now it plays on my speaker, but 'Record my desktop' does not pick it up. Any ideas? (I don't want to run a seperate audio record because of editing issues 	CHAT
3754	heh, how can you try to run mp3z when you cant acces to HDD with ntfs? ha, u have fat32 :D	man, i'm trying to get mp3 support on the livecd, this is a challenge :) 	CHAT
3755	ian ... can you right click on the clock	couldnt you just mount a drive into the folder you want .. or am i on the wrong track??? 	CHAT
3756	you might also check sudo -i	ok so sudo <command> works great but is there a way to open terminal where everything is as root? knoppix had shortcut for that 	CHAT
3757	you might check man fstab	hi - I have a small mount problem  - I have an entry in /etc/fstab that reads  /dev/sda1       /scsi           ext3    rw      0       0   however this does not get mounted at boot time. Any ideas what I should check? 	CHAT
3758	while reading that, you might want to look for auto option	hi - I have a small mount problem  - I have an entry in /etc/fstab that reads  /dev/sda1       /scsi           ext3    rw      0       0   however this does not get mounted at boot time. Any ideas what I should check? you might check man fstab 	CHAT
3759	hah there isn't. but if you're lucky and you still have the sources you might try running make uninstall in the source directory	What's the command for uninstalling a program that was installed using make? 	CHAT
3760	how could you log in? there is no user/password afaik	Does the livecd start sshd automatically? nope 	CHAT
3761	you might want to look at linux-live.org	Is there any way to create or get a LiveCD that will allow ssh connections upon boot (so I can work with the system without a display)? 	CHAT
3762	yes, the memory actualy being activly used is not more than you might expect	whats the coool gmail app that checks ur gmail mail for linux? :) apt-cache search gmail 	CHAT
3763	ah, then you might need to script it a little	hello, its possible i install ati and nvidia drivers, and on startup ubuntu know what drivers need to use ? no, what card do you ahve nvidia or ati? 	CHAT
3764	you might want to pipe that to more or less, there will be a lot of modules on ubuntu	is there a way to list all currently loaded kernel modules lsmod 	CHAT
3765	have you tried in safe graphics mode?	hello I've an acer notebook and ubuntu edgy fails to start x.org, even using alternate installer:/ 	CHAT
3766	can you mount them manually?	are the USB drives formatted? if there is no filesystem on them they will not be able to automount 	CHAT
3767	first of all find out what device name the USB disc has (it will be something like /dev/sdc1), you might be able to find this by looking at what the command 'dmesg' returns after you plug the drive in	are the USB drives formatted? if there is no filesystem on them they will not be able to automount can you mount them manually? 	CHAT
3768	have you tried running sudo update-grub ?	question... Is there a graphic easy tool that can edit Grub configuration? i 'had' dualboot but the windows wont start... it just jumps back to the menu, i upgraded from 9.10 to 10.04. Give me a PM. 	CHAT
3769	can you access the servers for updating java and codecs?  http://ubuntu-backports.mirrormax.net/	surly; linuko: Thanks.  Just made the switch from Fedora 	CHAT
3770	above link generally addresses your question; can you be more specific?	Can anyone point me in the direction of a tutorial on how to mount hard drives? https://wiki.ubuntu.com//InstallingANewHardDrive 	CHAT
3771	you might not need too	anyone who can help me? ..well im all new to linux! totaly! and i just installed ubuntu.. now i wanted to install my gfx card driver.. but im not sure how to.. 	CHAT
3772	you might want to try in #kubuntu	i've a problem with kmail and address book (kubuntu) someone can help me? 	CHAT
3773	how can you prevent your script from installing broken code? unless you write some kind of super inteligent script or something	if it's automated why not? 	CHAT
3774	old optical drive. you might try burning a cd at a slower speed.	Help, I popped in the ubuntu-6.10-server-i386 CD into an older emachines/celeron and it wouldn't boot it just skipped over and went to windows XP i already checked the boot order in the BIOS and the ATAPI CDROM is the primary boot device 	CHAT
3775	you might have specified a mirror too many (for example two mirrors pointing to 'main'). remove one with synaptic or edit sources.list manually. afterwards, run apt-get update and try again.	Here's a weird error: while trying to install totem-gsteamer-firefox-plugin I get the message: totem-gstreamer-firefox-plugin: 'Depends: totem-gstreamer (= 1.2.1-0ubuntu1~breezy1) but 1.4.3-0ubuntu1 is to be installed'  However, the real problem is that 1.4.3 *is* installed already and the package wants 1.2.1.  The message seems misleading. maybe you have the same package available in two apt locations (verify your /etc/apt/sources.list 	CHAT
3776	you might want to change that password now :)	msg nickserv identify 221jlm crap 	CHAT
3777	can you please prvmsg that to me?	hello everyone. i need assistance installing Ubuntu 5.10 on my Powerbook G3. my CD drive won't boot CDs. is there an alternative method? i'm not a mac user and have never owned a mac, but i found an alternative key combination for booting cds: http://lists.debian.org/debian-powerpc/2004/10/msg00062.html 	CHAT
3778	yep. you might want to add 'sudo' infront of that command.	to get wine, do i do the following  -  sudo apt-get install wine  ?  (new to apt-get) 	CHAT
3779	depending on the application you might want to install libqt3-mt-dev as well	hello. Whi trying to compile (./configure), I get this error: [error: 'Qt library is required to compile VyQChat!'] . What's the name of this library that I have to install? probably libqt4-dev (or libqt3-dev) 	CHAT
3780	ask a specific question and chances are you might get a reply	i need help installing linux it keeps freeeeeeeeezing after detecting hardware i reall need help installing please !!! anyone ? 	CHAT
3781	can you tell me how to install the Qt4 development packages please?	hi everibody, when i use './configure' i think something goes wrong...i have an error i think: 'checking for Qt library version >=4.2... no; Qt 4.2 or greater is required....what is that?!?! You appear to be missing QT4 development packages. 	CHAT
3782	you might get lucky :)	hello, would someone be able to give me a few pointers on getting my 2nd hard drive to work is this the right place to look for support? 	CHAT
3783	i think there is a 'zoom' option for mplayer. have you tried it?	I think I have to recompile or somthing with an option, dunno what 	CHAT
3784	can you tell me the easest way to install wine	can you tell me the easest way 	CHAT
3785	have you tried an launcher with command 'mozilla-firefox http://www.gmail.com' ?	im trying to make a shortcut on my desktop that opens Gmail in Firefox.   why cant i figure this out lol 	CHAT
3786	have you tried installing the nvidia driver out of the repos	hi, Nvidia installer gives me: No precomplied kernel interface was found to match your kernel Nvidia installer gives me 'No precomplied kernel interface was found to match your kernel'  What should I do? 	CHAT
3787	 you might be surprised, if you're on a broadband connection might take 10 minutes	hi there... anyone there can help me upgradeing from HOARY GNOME to BREEZY KDE?... just dont know if i can do it directly or first upgrade to breezy GNOME and then to KDE? or do I just download the meta fle of KDE and follow the instructions? 	CHAT
3788	you mean you have kaffe installed? you might as well remove it since you got sun java	you're one very specific newbie? yes, i'm a breezy-newbie :) 	CHAT
3789	can you compile cedega, wow, i thought it was closed source	!tell Jonnytheloony about cvscedega 	CHAT
3790	you might wanna edit sudoers and add 'cd' to it	:::::: is there any way to cd to a directory created by root using sudo instead of su ........ ??? sudo cd .... 	CHAT
3791	could you help me? have you read my question?	why? 	CHAT
3792	7950 does have the problem, but you might want to search the forums. I  remember seeing some problems when edgy first came out.	Upon attempting to install Ubuntu 6.10 the graphics scramble. This happens as soon as the live cd tries to load the GUI for the installer. I've got a geforce 7800 card, is this a known prob? 	CHAT
3793	have you tried the wine channel?	im still getting nowhere with running games through wine and without, and also still having problems getting clamav up and running, any help please? 	CHAT
3794	have you tried ubuntu?	i been in redhat so long i havent really used any of the new ones linux has really advanced alot 	CHAT
3795	can you get to the grub menu?	any ideas on my monitor after the reboot? do you hear your HDD working?  that's when the packages are being configured 	CHAT
3796	you might want to look at ubuntuforums.org as well	where is a good room for help with tv tuners in ubuntu? you're looking at the most relevant one 	CHAT
3797	does it work in another user account? have you tried a live cd to ensure the touchpad itself is functional?	hello , why my touchpad not workng  have you googled your make/model with ubuntu 10.10 and tablet as keywords? 	CHAT
3798	can you give me some advice?	i want learn about the C/C++ 	CHAT
3799	hmm. can you be more specific?	how do I use generic names in desktop menus? how do I use generic names in desktop menus? 	CHAT
3800	can you help me?	can you help me? 	CHAT
3801	have you tried volume settings etc?	hi friends: I cannot record: I cannot make the microphone work... some idea? I Alsa it says it cannot open 'default', and in 'esd' nothing happens... I'm using soundblaster16 (old sound card) does someone here know how to make a microphone work? I need to use skype... :( 	CHAT
3802	you might find that Octave is a good (free) equivalent ...almost all commands are synonymous, apparently. Matlab itself would need Wine	hello,who can tell me how to install matlab on ubuntu?thanks a lot 	CHAT
3803	erm.. you might have to move them back	if i copied all my deb archive cache to a CD, would synaptic recognize the files and user them from the CD instead of re-downloading them? 	CHAT
3804	 can you find your access point?	hello all I'm having one heck up a time getting it up.... My wifes' DWL 520 wireless card won't connect on install lol Ice 	CHAT
3805	Marcus: where can you download quake3 for ubuntu?	can anyone tell me where to get that cool 3D desktop in the ubuntu demo vid? 	CHAT
3806	have you tried to kill esd?	ok im having issues with sound. now i think part of it is because i have a dvb card that has audio out on it as well, but ive set the cmedia card to be the default in sound preferences, and it worked when i installed ubuntu, but i dont think ive changed anything and now its not working.. any suggestions/checklists of stuff to look at? 	CHAT
3807	can you please tell me what should i type instead of XXX exactly or just give an example	ask here. 	CHAT
3808	have you tried gaim?	how to install ym in ubuntu? 	CHAT
3809	i hope you're aware of the inherent problems that wubi can/does cause... you might want to reconsider using it.	i need help. the WUBI windows installer is not installing correctly. i selected H: partition and it installed everything there, but when i try to boot ubuntu its trying to load the disk from my K: partition which doesnt have any unbutu files on it... how can i fix where grub is pointing to? because its going to install on a virtual disk. 	CHAT
3810	can you do 'make uninstall' in the source dir?	how do I perform the uninstall of the ndiswrapper that I compiled at /usr/src? basically, I followed the directions at: https://wiki.ubuntu.com/SetupNdiswrapperHowto 	CHAT
3811	can you tell me the command that makes a copy all directories and subdir., and the command that can changes user and permissions for dir/subdirs?	hi 	CHAT
3812	I'm sure I can't help you, but you might have better luck if you ask a specific question.	Remaster help, anyone?:( breezy remaster help:( 	CHAT
3813	I'm sure I can't help get it running, but if you run it from the command line, you might see some error messages.	alright... can somebody at least help me get azureus running!?  whenever i open it, it just closes after the splash screen 	CHAT
3814	have you tried booting a live usb/cd, to see if your wireless device works? ( alot of thos enetbooks have atheros devices, and they work out of the box... at least my two did)	If i install ubuntu and my wireless card doesn't work.. What should i do? you should google how to fix it. 	CHAT
3815	did you try logging out and back in?	You were warned. 	CHAT
3816	could you elaborate?	hi again. Can anyone explain, how I can modify cuch folders like lib or etc ? 	CHAT
3817	you might want to though. does make life easier if you ever need to dual-boot	 is there no need to selcet /boot and /home in the setup ? thanks :) 	CHAT
3818	can you start it in terminal?	hello.i am using the gtksharp to create a app.but the image menu item in the menubar did not show the icon.any help would thankful. who can give me some advice? 	CHAT
3819	btw in ubuntu can you use debian apt sites too?	anyone have a list of unofficial ubuntu apt-lists 	CHAT
3820	Zambezi can you help me out?	Can someone help me with installing something? 	CHAT
3821	how can you remove an app that you installed with Automatix2?	Google Earth killed my X :( 	CHAT
3822	np, btw if you're compiling something (other than the kernel) you might inly need to install linux-headers-$(uname-r)	hi. how do i install kernel-sources ? install linux-tree 	CHAT
3823	you might have a bad CD?	i can not even get ubuntu to install 	CHAT
3824	or you might be looking for /var/www which is where the content goes	how do i fire up apache, and where can i find apache directory sudo invoke-rd.c apache start   (or apache2 if that's what you have installed)  and /etc/apache[2]  	CHAT
3825	sorry, I couldn't remember your name and thought you might know.. :(	!op 	CHAT
3826	have you tried opening it w/ GIMP?	I have a corrupt jpeg file. Image viewer says it can't interpret it because it starts with '0xf5 0xfe'... which program I can use to change these few hex values of the file to mirror a jpeg to see if it will open then 	CHAT
3827	﻿pim: i dono have you tryed simply moving the files	Just been having very bad crashed lately, and the music repeats annoyingly. The only way to get it working is to reboot. Almost happens every time I'm listening to music 	CHAT
3828	you might want the Alternate CD tho	does dapper still have OEM option? yes 	CHAT
3829	have you tried this: http://ubuntuguide.org/#jre	can someone help me install java? 	CHAT
3830	Also you might get better luck in #ubuntu-server	Hello can anyone help me with my ubuntu server 	CHAT
3831	have you tried cat?	void: im talking about that sensors void: for /proc/acpi, whats the command i need to run to scan it or whatever..it keeps saying command not found 	CHAT
3832	it might not be giving back memory, have you tried watching top while it's running?	Has anybody had problem upgrading Ubuntu from 7.10 to 8.04 through SSH? you would not be the first and it's possible to upgrade .. just might be troublesome .. but anything is 	CHAT
3833	what can you do?	Hello all Does anyone has a freelancer job to offer? 	CHAT
3834	can you surf	Question: how do i go about pinging servers on a hostname basis like in windows... i'm in a residential network with a router ping hostname.com 	CHAT
3835	and did you try to see inside there whether something is muted?	Im having an issue where my sound isnt working at all, using the onboard sound from my mobo do you have a sound icon in the top? 	CHAT
3836	i accidentally removed the menu panel or whatever... could you tell me how to get it back please	hello. anybody using xfce4??? 	CHAT
3837	did you try settting up nautilus to use a btrowser window?	where can i find go back and go forward in nautilus ? 	CHAT
3838	have you tried checking the logs to see if there's any details about why its locking up?	Perhaps this isn't the right place for questions concerning a locked up Ubuntu... 	CHAT
3839	what did you try, what was the error?	hi all I have karmic with 2.6.31-20 but i can't mount an ext4 device, how to? 	CHAT
3840	did you try?	Anyoone installed a brother MFC-210C printer with brothers drivers and got it to work under 6.10? If you wanna change the device from /dev/usb/lp0 to /dev/usblp0 is it enough to change it in /etc/cups/printers.conf? 	CHAT
3841	-- can you help me with a sound problem?	hehe 	CHAT
3842	we've heard the question, can you question it in more detail please?	Is there a way to get the places menu nautilus links to use --browser ? right mouse button, and then you can configure it too use any browser 	CHAT
3843	can you help me using gtkpod	hey guys 	CHAT
3844	did you try grub-install again?	my grub is so fucked up, new kernel versions dont show up its not swearing 	CHAT
3845	can you do apt-cache show kde?	can i install kde 4.2 without uninstalling kde 3.5 ? i dont think so , the meta package kde points to 4.2 	CHAT
3846	you might be updating too, cant say without the error message	whats the error 	CHAT
3847	you might have a point there... I never did get libstdc++ or locales to work ever again...	I once installed an LFS type system entirely in the /usr/local of a redhat 6 system - that was mad Right.  And I'm all about people learning these tools and doing lfs systems and such.  Just that, say, your compiler is a better place to start than your C library. =) 	CHAT
3848	what video player(s) have you tried?	Iam using alsa drivers for my sound card ,but when Im watching a video it doesnt syncronize with the sound.Are there other drivers I can use? it's unlikely that the alsa drivers are the problem 	CHAT
3849	did you try the disk on another drive?	I'm really new here... and I don't know how to describe my problem.  I backed up a bunch of data to dvd last week, and then reinstalled ubuntu breezy.  now my dvd burner acts as if I've inserted a blank dvd when I insert my backup discs.  I know there's data on it because I can 'see' it when I flip the disc over. anyone have some idea what I can do to recover my data? 	CHAT
3850	strange, have you tried sudo gedit <file>	how do i open files with no format? look at the properties what sort o file it is 	CHAT
3851	did you try Startup Applications under system->preferences?	Hello, everyone I've been trying to get vuze to run at bootup for like three hours now. does anyone know an easy way to run a command at boot-up? 	CHAT
3852	if you're searching for a file within a package that you might not have installed, 'apt-file search' is what you want	is there a search utility for apt-get? 	CHAT
3853	could you rephrase that?	how can i open a file into other computer ? 	CHAT
3854	you might look into a distro for low end systems like vectorlinux.  It's designed for older boxes.	hello...does anyone have expirience with ubuntu on slow machines ? i want to run it on P233 with 64mb of ram, will i be able to run gnome, openoffice and firefox ? I recommend XFce, Firefox, and Abiword, etc... 	CHAT
3855	you might have to be root	Hello, can someone tach me how to delete a file when this option is disabled in rightclicking? teach 	CHAT
3856	what do you mean exactly, can you give me an example?	sup, anyone knows how to edit audio-file-tags ? ( the ones seen under properties, not ID3) sup, anyone knows how to edit audio-file-tags ? ( the ones seen under properties, not ID3) 	CHAT
3857	could you PM me the patch and such?	so, I'm sorry... how to do the patch and compile the source? the original one has some errors on it what are you patching? 	CHAT
3858	where did you try to get it from?  ftp.nerim.net?	Does anyone have any suggestions other than the unofficial ubuntu guide for being able to get libdvdcss2? 	CHAT
3859	or you might be able to add something to .bashrc  make a back up copy before you try it	how about steph@ubuntu:~$ somebody know how to i can change it the name ? 	CHAT
3860	you might need todo a fdisk /mbr from a windows boot up disk too	hi, I have a 100mb partition with GRUB in it, now I want to remove it and boot directly to windows 7, how do I do it? I followed the step 3 in this link, but I don't think it worked, http://neosmart.net/wiki/display/EBCD/Recovering+the+Vista+Bootloader+from+the+DVD, please help :D mmm... ok 	CHAT
3861	what eles have you tried?	no it just takes gdm-themes with it iirc but imo gdm is the best out of the bunch 	CHAT
3862	 but can you use the acceleration on ubuntu on a vm?	he games in linux and uses windows for cmd 	CHAT
3863	have you tried ubuntuguide.org for your nvidia? It worked for me, gigabyte 6600GT	ok nickrud ok nickrud 	CHAT
3864	thanks, but could you give me an example?	I believe if you specify only a hostname and it is not found, it will append the search domain to the hostname and search on that 	CHAT
3865	can you provide some more context around what you're doing?	what is the best way to install a minimal commandline system? 	CHAT
3866	you might want to look into the apt-move utility	Hi. I was wondering how I could download all the updates for gutsy for the purpose of offline updating multiple machines? 	CHAT
3867	TokenBad> you might want to try sudo apt-get update  sudo apt-get upgrade to see if it updates	TokenBad> if the older version is on the repository thats all your going to get 	CHAT
3868	you might get some advantage from the -K7 builds	Speaking of kernels, I'm running an Athlon XP2600 but using a X86 kernel. Just noticed some K versions in Synaptic. I should use one of those, right? 	CHAT
3869	have you tried Places>Network ??	hey all. quick question. I deleted the bottom Panel on the default desktop (Ubuntu7.10) How would I get the running tasks and the multi-desktop things on another panel?? add to the pannel a list of windows 	CHAT
3870	did you try using jockey-gtk?	i'll send bitcoins to whoever helps me do this 	CHAT
3871	what are you talking about? can you give more detaiils?	how did i manage to get an i486 ? how did i manage to get an i486 processor or whatever ? 	CHAT
3872	have you tried 'sudo dhclient eth1'	I'm running Ubuntu Dapper amd64 ... I have a bcm4318 card, which if you didn't know, has broken firmware for bcm43xx module ... so, I'm using ndiswrapper ... after finally working around module aliasing probs and such, I finally got my card up, and doing 'iwlist eth1 scan' flawlessly ... my problem is that I don't seem to be able to acquire an address from my AP ... any suggestions? 	CHAT
3873	depends if you format you loose the that on te partitions can you afford to backup or loose the data on the partitions??	i just installed ubuntu and want to make it the only host OS on the system (with windows virtualized). i have two disks formatted in ntfs which ubunut detected and mounted. waht i want toi know is if its best to leave the disks formatted in ntfs or reformat them to ext3 ? 	CHAT
3874	can you recomend some software that can convert non-drm wmv and mov files into PAL DV format?	hey 	CHAT
3875	have you tried Partition Magic? That'll do the trick	hi I'm trying to format my partition so I can use it on my windows machine. I have used 'mkfs.ntfs -f /dev/sdb2' and it said it finished in like 5 seconds. but when I do fdisk -l it still marks it as linux filesystem 	CHAT
3876	did you try run it with sudo?	someone help me setup v2l what is v2l ? 	CHAT
3877	have you tried a load unload driver module cicle?	whenever i suspend my computer, and bring it out of suspension, i cannot get my wireless connection to come back on, even if i try to manually bring it back up, is there a fix for this? 	CHAT
3878	thank you erUSUL, can you tell me where to find the commands like you just gave me?	I messed up my upper taskbar - I don't have the sound icon anymore, can someone help me? 	CHAT
3879	can you paste your « lspci » output in pastebin ?	i cant seam to get any wireless on my laptop which wifi card do oyu have ? deos it show up in « iwconfig » output ? 	CHAT
3880	could you pls give me some link to upstart tutorial?	can any one tell me how to create a service..for eg run a script when wired network is disconnected or smthing lyk that maybe upstart 	CHAT
3881	what extra boot loader? can you give more details/context ?	I've been trawling through web pages for 2 weeks. How do I get rid of my extra boot loader? Anybody How do I tell 	CHAT
3882	have you tried restarting dbus ?	maybe in #ubuntu-server you get more help... apparmor is not my forte 	CHAT
3883	I don't have 11.10 yet, but have you tried going into the power options or screensaver options?	how do I stop the screen on my laptop from turning off after 10 minutes in 11.10? I ve tried MANY things and nothing has worked. 	CHAT
3884	Nautilus is part of the Gnome desktop environment. If you want to talk to the Nautilus devs, you might want to try the Gnome channel (Don't know what it is off hand).	Hello, how to request feature to Nautilus Developer? Thank you 	CHAT
3885	the 'f' part of that will FORCE deleting files that you might want to keep. If you want to be safe, just use rm -r.	what is the command to remove a directory rm -r foldername 	CHAT
3886	maybe is a problem with dns esolution only can you ping 66.102.9.99	PPPoE hates me. I've entered in all the correct details and set it up correctly, eth0 is reported as being active, but still... No internet on Ubuntu. Any ideas? 	CHAT
3887	can you run alsamixer in a terminal window? is anything muted?	no sound plz help http://www.alsa-project.org/db/?f=6f3ba4d071a49de5c08a98457dbabc03dfcf4da6 	CHAT
3888	can you access a terminal?	Hello, i have a problem. i tried to do a backup of my Home folder, ive searched in the ubuntu foruns, followed the instructions, something about rename the home folder to old folder and the new backup folder to new folder etc. the last thing to do was rename the home folder to old folder but an error occured. I cant rename it. I restarted the system and now when my ubuntu starts this error appears ' could not update ICE authority file 	CHAT
3889	can you modify the menu subsystem places and add additional 'shortcuts' ?	any when will that be 	CHAT
3890	can you read/write on fat32 from ubuntu?	how is ntfs better than fat32 -- fat32 can be read and written to from ubuntu, right? so i guess what i'm asking is why xp prefers ntfs. 	CHAT
3891	when you're around could you privmsg or highlight please. Thanks.	ping 	CHAT
3892	drx have you tryed vbox ?	what softeare is there to make a vid  of your system ? 	CHAT
3893	yes live CD is different from the install cd, but I don't think the live cd comes w/ ndiswrapper... you might want to try knopix if your just testing your wireless compatibility w/ ndiswrapper	Hello, I'm considering installing Ubuntu, but I need to know whether it's OK with wireless cards? My Wireless cards is supported by ndiswrapper, but I'm worried that it's going to be fiddly to set up in Ubuntu? 	CHAT
3894	you might need to save alsa's state info	ok plain ignored 2 times.   another question then if those other 2 couldn't be answered. Any reason why everytime I reboot - power up - etc. my volume is set to 0? 	CHAT
3895	can you post your /etc/apt/sources.list on http://kubuntu.pastebin.com ?	i ran the apt install kubuntu-desktop command and it told me that KDe was dependent on Konversation but that Konversation is uninstallable i ran the apt install kubuntu-desktop command and it told me that KDe was dependent on Konversation but that Konversation is uninstallable. can anyone help me? 	CHAT
3896	can you get a hold of any linux live cd? (need wget and network)	is there anyway to initiate an ubuntu installation with a floppy disk? i dont have a cd writer and the comp does not support usb booting. hmm 	CHAT
3897	do a 'man useradd'.. i think you might need to do -m before the username	when useradd and passwd 'guest' I don't get a home folder for them when I log in on tty2 no home folder for new user. Thats wrong isn't it. 	CHAT
3898	did you try the optional ubuntu repositories?	I installed ubuntu and add the marillat repository and installed libdvdcss2..Yet I still get the following error trying to play dvds in totem.  'There were no decoders found to handle the stream...you might need to install the corresponding plugins'  Anybody know why? 	CHAT
3899	can you repeat that, please?	what are you trying to do?  what exactly is your problem? i don't know what your problem is....you never answered when i asked. 	CHAT
3900	have you tried using the CMOS jumpers?	Hi, I know this is not directly-Ubuntu related but maybe someone can help me. I installed Ubuntu about a week ago, but it's not booting up. I recently changed hard drives and I'm pretty sure I plugged everything in right, but BIOS lists my hard drive as 'Unknown.' So it sees it, what do you think is the problem? 	CHAT
3901	- could you put the user in question into a group, allowing that group only access to the execs in question? that could be excessively tedious, of course.......	Hello all, is it possible to restrict a user so that they cannot execute any applications except for a specific set? This is so a user can't simply waltz in with an ext2 floppy with a file owned by root and is suid to do something malicious. 	CHAT
3902	can you try figuring out how the program works?	how do i create a new partition to install linux got that partition magic? 	CHAT
3903	have you tried installing 9.10 and see what happens?	i installed kde on ubuntu 8.10 and it gives me KDE 3.5 ? 	CHAT
3904	hm, you might try logging out, and checking to see if gconfd is running.	any luck? the last saved gnome session is in .gnome2/session, you can try removing some lines there 	CHAT
3905	you might find apt-proxy useful then	is there any way to make a temporary 'repository' from another computer on the LAN so I don't have to wait for all the packages to download slowly from the repos? yes, look here for various options: https://help.ubuntu.com/community/Repositories 	CHAT
3906	you might try gnash, it's a free flash player that's supposed to work on ppc , plays utube	does source-o-matic have multiverse? yes 	CHAT
3907	did you try pressing the power key? So far that is the only way I have found to wake it from suspended mode	Anyone having issues with hibernation in the RC? I got a 'new' Eee PC 900sd and when it sleeps, it don't wake up. 	CHAT
3908	I'm no expert at this, but did you try unmounting it from media? sudo umount /media/hda(#)	can anyone help with my partitioning question well the partitions dont show up in the gnome interface 	CHAT
3909	could you let me know if you find out...	which program do i need to extract files from an .ace archive ? unace doesn't want to extract them 	CHAT
3910	did you try burning it again with another cdr?	I have a problem with the Live CD. When I rebooted my XP machine and loaded the DVD-ROM drive with the boot cd the computer gave me an error message which is different than what should normally appear. Here is the message:  Verifying DMI Data Pool.....   Boot from CD:  ISOLINUX 3.11 Debian-2066-03-16 (c) copyright 1994-2005   isolinux: Disk error 32, AX=4280, drive 9f   Boot failed:press a key to retry...             Now I have tried I burned at 1x and the md5 said it was correct 	CHAT
3911	can you suggest a search string? I've tried all the stuff like 'via sound distortion' and stuff	anyone have any answer for my sound card problem? i've heard of it.  check the forums 	CHAT
3912	you might need only things mentioned on the RestrictedFormats wikipage	Hi all, what packages are on the 5.04 cd ? How much i need to dl to set up useful system (desctop, mmedia, gcc...) ? 	CHAT
3913	can you help me?	hi... i just installed ubuntu but could not managet to get to the graphic mode... what should I do? any error messages? 	CHAT
3914	did you try asking in #mysql or some such?	:p 	CHAT
3915	if you run 'ps -Hef', it'll list all the processes in a tree structure, showing which are the parents of which.  can you see your python process in the list?	hey im running linux and about every 30 mins my comp goes really slow, i type 'top' and it appears 'python' is taking up 80% of my cpu, anyone got any ideas which program is likely doing that, something to do with firefox? hey im running linux and about every 30 mins my comp goes really slow, i type 'top' and it appears 'python' is taking up 80% of my cpu, anyone got any ideas which program is likely doing that, something to do with firefox? 	CHAT
3916	can you make a new user and log in as that user ok?	linkslice:i hav two accounts..how can  i check which file is for which account?  linkslice: problem is my gnome is getting crashed..but i can log in through failsafe 	CHAT
3917	can you give more details?	why cant i mount the other partion on my hard drive 	CHAT
3918	FTP is a bit stupid.  you might find that you need to turn globbing on.  or maybe there's a '-R' flag available for chmod.  You might consider using sftp instead, too.	you can make gconfig for the GTK version or menuconfig for a console version.  no point installing Qt just for that. reading ntfs in linux is perfectly safe.  writing it is more scary. 	CHAT
3919	can you rebuild every things in ubuntu?	bleh, sudo is everywhere... 	CHAT
3920	- hm - interesting., you might be right. -	hmm....well my xorg.conf shows the exact monitor i have.....while the one pasted by tyler says defaul monitor so i thought maybe thts a problem 	CHAT
3921	can you hold on, i'm gonna switch computers	2.6.10 	CHAT
3922	you might prefer the Ubuntu Start Guide, Click the help button	speaking from a 4 day old noob perspective, it seems there is too many ways to do the same thing,its confusing when solutions are interspersed with GUI and CLI answers they should split up help into 2 distinct sections 	CHAT
3923	can you help me?	robotgeek 	CHAT
3924	...tried installing the right codecs? and have you tried using VLC?	goddamnit, I can't get my sound to work when i wanna watch a video, doesn't depend on the program, i don't know what's wrong. PLEASE anyone, help me. 	CHAT
3925	what happens if you right click where it's supposed to be.. can you select it?	how do i get network manager icon back? 	CHAT
3926	have you tried kdenlive?  i like it alot, but get the PPA version	can someone help me find a .deb version for lives? video editing software 	CHAT
3927	dns is kinda a pain, but you might find it fun - no clue how much it will really help.  dhcp... I was fine my wifi AP, until I needed to do pxe booting which the APs dhcp does't support.	I'm looking to install Ubuntu Server on my 3rd and main PC at home. Is it worth handing over tasks such as DHCP and DNS to a PC, over and above the router? Is there any benefit to be obtained by running SQUID on this PC for example? check out http://packages.ubuntu.com/maverick/squid-deb-proxy 	CHAT
3928	 you might ask in #opensourcemusicans or #kxstudio, those guys know JACK :)	hello all, I have a strange problem, with jack... I am able to start it in the termial but not using qjackctl I am already in the audio gruop 	CHAT
3929	can you play a normal DVD?	hey all.. is there a way to play a burnt dvd on ubuntu? i am trying but i cant ever get it to work 	CHAT
